purpose	level	name	size	start	end
focus	division_exposure	Iowa	10	1/1/21	
focus	division_exposure	Illinois	10	1/1/21	
focus	division_exposure	Missouri	10	1/1/21	
focus	division_exposure	Indiana	10	1/1/21	
focus	division_exposure	Colorado	10	1/1/21	
focus	division_exposure	Kansas	10	1/1/21	
focus	division_exposure	Wyoming	10	1/1/21	
context	region_exposure	Europe	50	1/1/21	
context	region_exposure	Asia	50	1/1/21	
context	country_exposure	USA	250	1/1/21	
ignore	country_exposure	Canada			
ignore	country_exposure	India			
ignore	country_exposure	South Africa			
ignore	country_exposure	Bangladesh			
ignore	country_exposure	Saudi Arabia			
ignore	country_exposure	Australia			
